City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
569,Coari,BR,82.94,-4.085,-63.1414,HOTEL ALEX FLAT
576,Cayenne,GF,87.84,4.9333,-52.3333,Hôtel Le Dronmi
577,Bonthe,SL,78.62,7.5264,-12.505,Bonthe Holiday Village
580,Pedernales,DO,88.14,18.0384,-71.744,Hotel Costa Marina
584,Santa Marta,CO,88.34,11.2408,-74.199,Casa de Isabella
585,Kattivakkam,IN,87.89,13.2167,80.3167,Euronova Freezer
591,Pedro Juan Caballero,PY,82.36,-22.5472,-55.7333,Hotel Internacional
595,Roma,US,78.94,43.2128,-75.4557,Wingate By Wyndham Rome
597,Namuac,PH,78.35,18.6109,121.1657,Mlin Hotel
601,Xuddur,SO,76.35,4.1213,43.8894,Banjanay Hotel
603,Santa Rosalia,MX,87.64,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
604,Baracoa,CU,87.93,20.3467,-74.4958,Hostal Rio Miel
610,Manokwari,ID,77.65,-0.8667,134.0833,Swiss Belhotel Manokwari
615,Ca Mau,VN,77.72,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
617,Hammond,US,87.35,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
620,Dwarka,IN,81.12,22.2394,68.9678,Hotel Narayan Avezika Comfort
621,Jiazi,CN,83.59,22.8779,116.067,Hotel Jin Hao
622,Ijui,BR,75.22,-28.3878,-53.9147,Hotel Vera Cruz
626,Ternate,ID,77.63,0.8,127.4,Grand Dafam Bela Ternate
627,Bud,US,84.83,39.447,-86.1758,Ted McQuinn Trust
629,Biak,ID,75.2,-0.9131,122.8766,Penginapan Kim
634,Boulsa,BF,86.29,12.6675,-0.5758,Centre d'accueil de Nasongdo
640,Shasta Lake,US,89.35,40.6804,-122.3708,Shasta Dam Motel
643,Dera Bugti,PK,88.02,29.0307,69.151,Nawab Bugti House
648,Pundaguitan,PH,80.11,6.3711,126.1689,Leonardo Family Beach House 1
649,Dongli,CN,82.38,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
650,Kailua,US,82.38,21.4022,-157.7394,Sheffield House Bed & Breakfast
653,Bensonville,LR,76.71,6.4461,-10.6125,Moinga
656,Nador,MA,75.27,35.174,-2.9287,Hôtel La Giralda
659,Sao Jose Da Coroa Grande,BR,79.34,-8.8978,-35.1478,Crôa Mares Hotel
