,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
149,Padang,-0.9492,100.3543,75.25,86,85,3.18,ID,overcast clouds
150,Tura,25.5198,90.2201,75.72,93,100,2.13,IN,overcast clouds
151,Chapais,49.7834,-74.8492,65.98,51,65,14.65,CA,broken clouds
152,Lebu,-37.6167,-73.65,53.55,91,99,30.94,CL,moderate rain
153,Lompoc,34.6391,-120.4579,87.57,76,1,13.8,US,clear sky
154,Bredasdorp,-34.5322,20.0403,53.28,87,69,3.44,ZA,broken clouds
155,Kensington,-33.9167,151.2167,65.77,44,0,10.36,AU,clear sky
156,Buala,-8.145,159.5921,79.27,82,37,8.19,SB,scattered clouds
157,Saskylakh,71.9167,114.0833,45.5,70,80,7.76,RU,broken clouds
158,Carnarvon,-24.8667,113.6333,59.07,63,0,16.11,AU,clear sky
159,Black River,18.0264,-77.8487,90.99,56,72,15.17,JM,broken clouds
160,Harper,4.375,-7.7169,78.91,86,33,7.96,LR,scattered clouds
161,Geraldton,-28.7667,114.6,43.21,87,0,4.61,AU,clear sky
162,Sitka,57.0531,-135.33,55.29,94,90,6.91,US,light rain
163,Andrews,32.3187,-102.5457,94.95,18,1,10.36,US,clear sky
164,Tucurui,-3.7661,-49.6725,99.7,26,64,6.17,BR,broken clouds
165,Airai,-8.9266,125.4092,57.92,83,100,1.63,TL,overcast clouds
166,Filadelfia,39.9523,-75.1638,81.01,47,75,7.0,US,broken clouds
167,Faya,18.3851,42.4509,69.91,54,74,3.31,SA,broken clouds
168,Grand Gaube,-20.0064,57.6608,72.0,76,100,8.01,MU,overcast clouds
169,Charters Towers,-20.1,146.2667,64.47,80,94,9.53,AU,overcast clouds
170,Tilzapotla,18.4833,-99.2667,80.26,54,56,4.0,MX,broken clouds
171,Ormara,25.2088,64.6357,79.66,88,100,7.18,PK,overcast clouds
172,Kloulklubed,7.0419,134.2556,81.99,72,100,4.32,PW,light rain
173,Flinders,-34.5833,150.8552,64.2,46,0,12.46,AU,clear sky
174,Carballo,43.213,-8.691,69.49,86,92,0.04,ES,overcast clouds
175,Jiayuguan,39.8167,98.3,65.19,32,100,4.5,CN,overcast clouds
176,Ponta Do Sol,32.6667,-17.1,79.0,80,7,7.29,PT,clear sky
177,Tommot,58.9564,126.2925,42.4,91,5,2.33,RU,clear sky
178,Qaqortoq,60.7167,-46.0333,52.3,80,100,19.06,GL,moderate rain
179,Tres Arroyos,-38.3739,-60.2798,64.67,64,100,16.31,AR,overcast clouds
180,Bathsheba,13.2167,-59.5167,88.41,79,40,13.8,BB,scattered clouds
181,Leningradskiy,69.3833,178.4167,28.47,92,100,18.88,RU,light snow
182,Manjacaze,-24.7117,33.8828,63.55,76,0,7.02,MZ,clear sky
183,Port Hardy,50.6996,-127.4199,59.18,82,75,4.61,CA,light rain
184,Tuatapere,-46.1333,167.6833,50.83,84,100,11.03,NZ,overcast clouds
185,Constitucion,-35.3333,-72.4167,54.36,92,100,28.95,CL,light rain
186,Kieta,-6.2167,155.6333,78.39,83,100,6.89,PG,light rain
187,Yar-Sale,66.8333,70.8333,43.02,77,100,10.49,RU,overcast clouds
188,Savalou,7.9281,1.9756,75.15,90,100,1.25,BJ,overcast clouds
189,Rodrigues Alves,-7.738,-72.6509,86.49,58,64,2.8,BR,broken clouds
190,Kargil,34.5667,76.1,51.87,66,29,8.57,IN,scattered clouds
191,Balakhta,55.38,91.6,46.62,83,94,5.06,RU,overcast clouds
192,Lasa,46.6166,10.7002,67.08,86,79,1.52,IT,broken clouds
193,Acari,-15.4311,-74.6158,73.83,55,59,9.44,PE,broken clouds
194,Torbay,47.6666,-52.7314,68.27,74,20,27.63,CA,few clouds
195,Mount Isa,-20.7333,139.5,60.57,55,47,0.0,AU,scattered clouds
196,Moindou,-21.6924,165.677,58.95,72,2,4.23,NC,clear sky
197,Olinda,-8.0089,-34.8553,78.53,65,90,10.36,BR,overcast clouds
198,Labrea,-7.2586,-64.7981,91.42,44,100,1.72,BR,overcast clouds
199,Bambous Virieux,-20.3428,57.7575,71.85,78,40,12.66,MU,scattered clouds
200,Nizhniy Odes,63.6445,54.856,38.48,97,70,5.46,RU,broken clouds
201,Yeppoon,-23.1333,150.7333,62.38,72,76,4.97,AU,broken clouds
202,Avera,33.194,-82.5271,87.67,31,0,5.28,US,clear sky
203,Salalah,17.0151,54.0924,80.69,94,75,2.3,OM,broken clouds
204,Redmond,47.674,-122.1215,72.34,65,100,1.99,US,overcast clouds
205,Peruibe,-24.32,-46.9983,73.29,68,100,3.27,BR,light rain
206,Yuncheng,35.0231,110.9928,71.24,73,0,5.77,CN,clear sky
207,Cuamba,-14.8031,36.5372,71.78,50,3,6.69,MZ,clear sky
208,Port Hedland,-20.3167,118.5667,69.85,88,1,8.05,AU,clear sky
209,Castro,-24.7911,-50.0119,66.74,73,100,5.64,BR,overcast clouds
210,Mogadishu,2.0371,45.3438,78.44,81,79,19.86,SO,broken clouds
211,Eyl,7.9803,49.8164,78.69,80,98,25.48,SO,overcast clouds
212,Wladyslawowo,54.7909,18.4009,65.93,95,100,8.5,PL,overcast clouds
213,Lebork,54.5392,17.7501,65.91,95,90,5.53,PL,light rain
214,Luena,-11.7833,19.9167,65.7,31,7,4.74,AO,clear sky
215,Qom,34.6401,50.8764,83.77,19,0,7.83,IR,clear sky
216,Nikolskoye,59.7035,30.7861,57.09,99,100,3.67,RU,overcast clouds
217,San Patricio,28.017,-97.5169,93.29,42,0,11.86,US,clear sky
218,Esperance,-33.8667,121.9,51.64,67,68,10.58,AU,broken clouds
219,Ushibuka,32.1906,130.0228,74.07,96,100,6.42,JP,light rain
220,Pakxan,18.3778,103.6601,74.43,97,100,2.64,LA,light rain
221,Abeche,13.8292,20.8324,77.68,70,100,12.19,TD,overcast clouds
222,Zavetnoye,47.1194,43.8903,70.05,42,100,7.81,RU,overcast clouds
223,Kushiro,42.975,144.3747,61.57,91,100,7.76,JP,light rain
224,Coihaique,-45.5752,-72.0662,50.61,76,90,9.22,CL,light rain
225,Pangnirtung,66.1451,-65.7125,37.63,41,5,4.65,CA,clear sky
226,Srednekolymsk,67.45,153.6833,27.5,81,100,3.6,RU,overcast clouds
227,Kinablangan,7.6947,126.5503,77.61,82,100,3.38,PH,light rain
228,Pavlovsk,50.4578,40.1081,66.69,64,92,7.36,RU,overcast clouds
229,Kodiak,57.79,-152.4072,51.31,76,1,0.0,US,clear sky
230,Gusau,12.1628,6.6614,77.07,88,97,1.97,NG,heavy intensity rain
231,Igarka,67.4667,86.5833,43.3,93,99,11.14,RU,overcast clouds
232,Minab,27.1467,57.0801,87.3,43,0,1.92,IR,clear sky
233,Pisco,-13.7,-76.2167,64.45,77,20,8.05,PE,few clouds
234,Salinopolis,-0.6136,-47.3561,83.55,68,6,11.7,BR,clear sky
235,Perth,-31.9333,115.8333,50.18,86,0,4.61,AU,clear sky
236,Fairbanks,64.8378,-147.7164,52.14,73,1,0.0,US,haze
237,Mangaratiba,-22.9597,-44.0406,74.26,93,100,4.07,BR,light rain
238,Dingle,10.9995,122.6711,75.94,89,100,3.42,PH,overcast clouds
239,Bambanglipuro,-7.95,110.2833,76.26,88,99,11.65,ID,overcast clouds
240,Korla,41.7597,86.1469,72.48,30,80,6.62,CN,broken clouds
241,Tigil,57.8,158.6667,32.2,83,86,4.27,RU,overcast clouds
242,Narsaq,60.9167,-46.05,52.02,79,100,17.43,GL,moderate rain
243,Hendek,40.7994,30.7481,55.72,85,4,3.78,TR,clear sky
244,Adrar,20.5022,-10.0711,85.71,47,90,30.22,MR,overcast clouds
245,Aswan,24.0934,32.907,86.31,23,4,14.88,EG,clear sky
246,Hovd,48.0056,91.6419,54.73,33,20,3.11,MN,few clouds
247,Lander,42.833,-108.7307,77.11,25,1,18.41,US,clear sky
248,Whitehorse,60.7161,-135.0538,53.02,71,75,6.91,CA,broken clouds
249,Umm Lajj,25.0213,37.2685,83.07,68,1,10.54,SA,clear sky
250,Port Lincoln,-34.7333,135.8667,52.54,57,27,19.95,AU,scattered clouds
251,Nalut,30.3333,10.85,91.27,18,62,13.4,LY,broken clouds
252,Neiafu,-18.65,-173.9833,75.88,94,75,9.22,TO,moderate rain
253,Mitsamiouli,-11.3847,43.2844,76.98,72,0,6.8,KM,clear sky
254,Great Bend,38.3645,-98.7648,102.88,26,1,13.0,US,clear sky
255,Ilulissat,69.2167,-51.1,30.22,40,1,8.05,GL,clear sky
256,Inirida,3.8653,-67.9239,86.9,67,29,3.76,CO,scattered clouds
257,Georgetown,5.4112,100.3354,77.9,91,20,3.44,MY,few clouds
258,Kitob,39.0843,66.8332,68.58,20,0,2.35,UZ,clear sky
259,Cidreira,-30.1811,-50.2056,66.43,65,0,7.34,BR,clear sky
260,Hobyo,5.3505,48.5268,78.19,86,50,28.57,SO,scattered clouds
261,Saldanha,-33.0117,17.9442,59.05,94,100,8.81,ZA,overcast clouds
262,Meulaboh,4.1363,96.1285,76.62,90,75,3.27,ID,broken clouds
263,Pedasi,7.5333,-80.0333,82.15,74,100,11.03,PA,overcast clouds
264,Xai-Xai,-25.0519,33.6442,67.23,75,0,10.11,MZ,clear sky
265,Taltal,-25.4,-70.4833,58.32,78,36,5.35,CL,scattered clouds
266,Gboko,7.3179,8.9951,77.11,84,64,4.81,NG,broken clouds
267,Sobradinho,-12.8333,-39.1,81.41,56,33,8.97,BR,scattered clouds
268,Santa Isabel Do Rio Negro,-0.4139,-65.0192,83.84,69,100,3.02,BR,very heavy rain
269,Tezu,27.9167,96.1667,76.44,79,100,4.32,IN,overcast clouds
270,Tambura,5.6,27.4667,69.44,94,72,4.34,SS,light rain
271,Morgan City,29.6994,-91.2068,88.03,51,1,9.22,US,clear sky
272,Kyzyl-Suu,42.3414,78.0056,53.38,53,1,2.13,KG,clear sky
273,Jalu,29.0331,21.5482,92.25,24,0,6.26,LY,clear sky
274,Chernigovka,44.3389,132.5728,52.21,94,33,8.86,RU,scattered clouds
275,Miri,4.4148,114.0089,78.94,94,40,0.0,MY,scattered clouds
276,Las Cruces,32.3123,-106.7783,95.05,20,1,3.0,US,clear sky
277,Slonim,53.0867,25.3219,61.14,69,100,4.5,BY,overcast clouds
278,Juneau,58.3019,-134.4197,54.84,95,90,1.01,US,moderate rain
279,Mandalgovi,45.7625,106.2708,47.52,79,100,28.66,MN,light rain
280,Gorontalo,0.5412,123.0595,73.78,95,80,2.33,ID,broken clouds
281,Vanimo,-2.6741,141.3028,76.14,91,67,5.99,PG,broken clouds
282,Ashland,40.8167,-82.2665,79.34,48,44,17.74,US,scattered clouds
283,Ryotsu,38.0833,138.4333,70.57,87,1,6.98,JP,clear sky
284,Makurdi,7.7411,8.5121,78.51,83,18,3.71,NG,few clouds
285,Sibiti,-3.6819,13.3499,71.8,82,100,3.71,CG,light rain
286,San Borja,-14.8167,-66.85,94.17,33,32,3.91,BO,scattered clouds
287,Banda Aceh,5.5577,95.3222,79.25,80,100,10.47,ID,moderate rain
288,Hasaki,35.7333,140.8333,72.0,89,98,5.44,JP,overcast clouds
289,Bonavista,48.6499,-53.1147,69.12,67,0,25.99,CA,clear sky
290,Killybegs,54.6333,-8.45,55.11,82,100,8.05,IE,overcast clouds
