City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
555,Trincomalee,LK,80.56,8.5711,81.2335,Welcombe Hotel
557,Springdale,US,82.47,36.1867,-94.1288,Springdale Inn
560,Kahului,US,85.96,20.8947,-156.47,Maui Seaside Hotel
565,Champerico,GT,88.34,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
569,Bambanglipuro,ID,75.92,-7.95,110.2833,Puri Brata
570,Pundaguitan,PH,81.54,6.3711,126.1689,Leonardo Family Beach House 1
571,Saquarema,BR,77.02,-22.92,-42.5103,Hotel Fazenda Sol e Lua
575,The Valley,AI,85.86,18.217,-63.0578,CeBlue Villas & Beach Resort
576,Sao Domingos,BR,77.86,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
577,Kibala,TD,75.15,9.1104,18.3463,hotel safari
578,Ambulu,ID,76.39,-8.345,113.6058,Hotel Ambulu Jember
580,Majene,ID,78.21,-3.5403,118.9707,Kost Putri RABBANI
583,Pimenteiras,BR,78.48,-6.2453,-41.4192,Hotel rotativo pimentas
584,Pontes E Lacerda,BR,80.62,-15.2261,-59.3353,Hotel Bressan
585,Palimbang,PH,80.1,6.2106,124.1894,Felmar Beach resort
587,Gabu,GW,75.6,12.2833,-14.2167,Hotel karsa
590,Paka,MY,75.13,4.6374,103.4368,RUMBIA RESORT VILLA
596,Kismayo,SO,77.31,-0.3582,42.5454,Agan-Hotel
597,Santa Marta,CO,86.05,11.2408,-74.199,Casa de Isabella
606,Lampang,TH,75.11,18.3333,99.5,Mrs Luis Guest House
608,Batticaloa,LK,79.0,7.7102,81.6924,Grand Star Guest House
609,Biltine,TD,79.16,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
614,Mansa,IN,77.31,29.9833,75.3833,STARiHOTEL Mansa
619,Yueyang,CN,79.47,29.3333,113.0919,Delong Fortune Hotel
620,Puerto Penasco,MX,89.91,31.3167,-113.5333,Playa Bonita Resort
624,Manokwari,ID,83.39,-0.8667,134.0833,Swiss Belhotel Manokwari
631,Kuching,MY,77.22,1.55,110.3333,The Ranee Boutique Suites
636,Canico,PT,75.83,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
639,Nakama,JP,78.66,33.8167,130.7,ホテルベルツー
651,Jiaocheng,CN,82.92,24.6774,116.1389,Changtan Tourism Resort
656,Puerto Colombia,CO,84.29,10.9878,-74.9547,Hotel El Emigrante
658,Nelson Bay,AU,76.75,-32.7167,152.15,Mantra Nelson Bay
660,Mana,GF,79.03,5.6592,-53.7767,LE SAMANA
663,Olinda,BR,76.73,-8.0089,-34.8553,Hotel Albergue de Olinda
666,Qeshm,IR,89.47,26.9581,56.2719,Qeshm Kavan Hotel
667,Pangkalanbuun,ID,76.78,-2.6833,111.6167,Grand Kecubung Hotel
669,Sibolga,ID,75.76,1.7427,98.7792,Hotel Syariah CN Darussalam
670,Imaichi,JP,76.53,36.7167,139.6833,ホテルファミテック明神
672,Adeje,ES,75.69,28.1227,-16.726,Gran Tacande Wellness & Relax
674,Bacolod,PH,78.06,10.6667,122.95,Planta Hotel & Residences
679,Ballina,AU,77.77,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
683,Aquiraz,BR,80.69,-3.9014,-38.3911,Pousada Rua Camurupim
684,Sabha,LY,83.19,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
685,Hirara,JP,84.47,24.8,125.2833,Hotel Atoll Emerald Miyakojima
687,Shanghai,CN,84.92,31.2222,121.4581,Swissotel Grand Shanghai
688,Pafos,CY,78.58,34.7667,32.4167,Elysium Hotel
